"Timestamp","delta time","Address","Data","Input","comments"
77.773924s,0.001042s,0000:0174,0x014,B, .
77.774959s,0.001035s,0000:0175,0x067,B, .
78.697202s,0.922243s,0000:0176,0x0B5,A, .
78.698237s,0.001035s,0000:0177,0x0B5,A, .
78.700132s,0.001895s,0000:0178,0x017,B, .
78.701174s,0.001042s,0000:0179,0x03C,B, .
78.702209s,0.001035s,0000:017a,0x014,B, .
78.703244s,0.001035s,0000:017b,0x067,B, .
79.759951s,1.056707s,0000:017c,0x0B5,A, .
79.760993s,0.001042s,0000:017d,0x0B5,A, .
79.762822s,0.001829s,0000:017e,0x017,B, .
79.763857s,0.001035s,0000:017f,0x03C,B, .
79.764892s,0.001035s,0000:0180,0x014,B, . 
79.765928s,0.001036s,0000:0181,0x067,B, .
80.687208s,0.921280s,0000:0182,0x0B5,A, .
80.688249s,0.001041s,0000:0183,0x0B5,A, . 
80.690176s,0.001927s,0000:0184,0x017,B, . 
80.691211s,0.001035s,0000:0185,0x03C,B, .  
80.692247s,0.001036s,0000:0186,0x014,B, . 
80.693282s,0.001035s,0000:0187,0x067,B, .
80.891019s,0.197737s,0000:0188,0x092,A, Set incline 15 degrees slab.  (max slab)
80.892061s,0.001042s,0000:0189,0x000,A,   
80.893103s,0.001042s,0000:018a,0x092,A,   
81.071752s,0.178649s,0000:018b,0x08E,A, Set Speed 16 feet per minute.
81.072794s,0.001042s,0000:018c,0x030,A,
81.073835s,0.001041s,0000:018d,0x0BE,A,
81.252380s,0.178545s,0000:018e,0x092,A, Set incline 15 degrees slab.  (max slab)
81.253415s,0.001035s,0000:018f,0x000,A,
81.254457s,0.001042s,0000:0190,0x092,A,
81.431030s,0.176573s,0000:0191,0x08E,A, Set Speed 16 feet per minute.
81.432071s,0.001041s,0000:0192,0x030,A,
81.433106s,0.001035s,0000:0193,0x0BE,A,
81.615812s,0.182706s,0000:0194,0x083,A, command: send countdown timer.
81.616853s,0.001041s,0000:0195,0x001,A,   1 minute
81.617895s,0.001042s,0000:0196,0x019,A,   19 seconds
81.618937s,0.001042s,0000:0197,0x09D,A,   checksum correct - becasue x83 + x001 +x019 = x9D
81.794982s,0.176045s,0000:0198,0x0B5,A, request status
81.796023s,0.001041s,0000:0199,0x0B5,A,
81.797957s,0.001934s,0000:019a,0x077,B, status 77 (pending)
81.798992s,0.001035s,0000:019b,0x030,B,   large bit speed.
81.800034s,0.001042s,0000:019c,0x000,B,   large bit incline.
81.801069s,0.001035s,0000:019d,0x0A7,B,   checksum correct.
82.694166s,0.893097s,0000:019e,0x083,A, command: send countdown timer.
82.695201s,0.001035s,0000:019f,0x001,A,   minutes
82.696243s,0.001042s,0000:01a0,0x018,A,   seconds
82.697284s,0.001041s,0000:01a1,0x09C,A,   checksum correct
82.873648s,0.176364s,0000:01a2,0x0B5,A, request status
82.874684s,0.001036s,0000:01a3,0x0B5,A,
82.876611s,0.001927s,0000:01a4,0x077,B, status 77 (pending)
82.877646s,0.001035s,0000:01a5,0x030,B,
82.878681s,0.001035s,0000:01a6,0x000,B,
82.879716s,0.001035s,0000:01a7,0x0A7,B,   checksum correct
83.775632s,0.895916s,0000:01a8,0x083,A, command: send countdown timer.
83.776674s,0.001042s,0000:01a9,0x001,A,   minutes
83.777715s,0.001041s,0000:01aa,0x017,A,   seconds
83.778750s,0.001035s,0000:01ab,0x09B,A,   checksum correct
83.955115s,0.176365s,0000:01ac,0x0B5,A,
83.956156s,0.001041s,0000:01ad,0x0B5,A,
84.677413s,0.721257s,0000:01ae,0x083,A, command: send countdown timer.
84.678455s,0.001042s,0000:01af,0x001,A,
84.679490s,0.001035s,0000:01b0,0x016,A,
84.680532s,0.001042s,0000:01b1,0x09A,A,
84.857000s,0.176468s,0000:01b2,0x0B5,A,
84.858035s,0.001035s,0000:01b3,0x0B5,A,
85.758046s,0.900011s,0000:01b4,0x083,A, command: send countdown timer.
85.759088s,0.001042s,0000:01b5,0x001,A,
85.760130s,0.001042s,0000:01b6,0x015,A,
85.761171s,0.001041s,0000:01b7,0x099,A,
85.938571s,0.177400s,0000:01b8,0x0B5,A,
85.939612s,0.001041s,0000:01b9,0x0B5,A,
86.661911s,0.722299s,0000:01ba,0x083,A,
86.662946s,0.001035s,0000:01bb,0x001,A,
86.663988s,0.001042s,0000:01bc,0x014,A,
86.665030s,0.001042s,0000:01bd,0x098,A,
86.839415s,0.174385s,0000:01be,0x0B5,A,
86.840456s,0.001041s,0000:01bf,0x0B5,A,
87.743481s,0.903025s,0000:01c0,0x083,A, command: send countdown timer.
87.744523s,0.001042s,0000:01c1,0x001,A,
87.745558s,0.001035s,0000:01c2,0x013,A,
87.746600s,0.001042s,0000:01c3,0x097,A,
87.922027s,0.175427s,0000:01c4,0x0B5,A,
87.923068s,0.001041s,0000:01c5,0x0B5,A,
87.924943s,0.001875s,0000:01c6,0x037,B,
87.925978s,0.001035s,0000:01c7,0x030,B,
87.927013s,0.001035s,0000:01c8,0x000,B,
87.928049s,0.001036s,0000:01c9,0x067,B,
88.643388s,0.715339s,0000:01ca,0x083,A, command: send countdown timer.
88.644430s,0.001042s,0000:01cb,0x001,A,
88.645465s,0.001035s,0000:01cc,0x012,A,
88.646506s,0.001041s,0000:01cd,0x096,A,
88.822871s,0.176365s,0000:01ce,0x0B5,A,
88.823912s,0.001041s,0000:01cf,0x0B5,A,
89.726937s,0.903025s,0000:01d0,0x083,A, command: send countdown timer.
89.727979s,0.001042s,0000:01d1,0x001,A,
89.729014s,0.001035s,0000:01d2,0x011,A,
89.730056s,0.001042s,0000:01d3,0x095,A,
89.906316s,0.176260s,0000:01d4,0x0B5,A,
89.907358s,0.001042s,0000:01d5,0x0B5,A,
89.909180s,0.001822s,0000:01d6,0x037,B,
89.910216s,0.001036s,0000:01d7,0x030,B,
89.911251s,0.001035s,0000:01d8,0x000,B,
89.912286s,0.001035s,0000:01d9,0x067,B,
90.267566s,0.355280s,0000:01da,0x08E,A,
90.268608s,0.001042s,0000:01db,0x033,A,
90.269650s,0.001042s,0000:01dc,0x0C1,A,
90.446111s,0.176461s,0000:01dd,0x092,A,
90.447153s,0.001042s,0000:01de,0x006,A,
90.448195s,0.001042s,0000:01df,0x098,A,
90.626636s,0.178441s,0000:01e0,0x083,A, command: send countdown timer.
90.627677s,0.001041s,0000:01e1,0x001,A,
90.628719s,0.001042s,0000:01e2,0x010,A,
90.629754s,0.001035s,0000:01e3,0x094,A,
90.806223s,0.176469s,0000:01e4,0x0B5,A,
90.807264s,0.001041s,0000:01e5,0x0B5,A,
91.709248s,0.901984s,0000:01e6,0x083,A, command: send countdown timer.
91.710289s,0.001041s,0000:01e7,0x001,A,
91.711331s,0.001042s,0000:01e8,0x009,A,
91.712366s,0.001035s,0000:01e9,0x08D,A,
91.887689s,0.175323s,0000:01ea,0x0B5,A,
91.888730s,0.001041s,0000:01eb,0x0B5,A,
91.890677s,0.001947s,0000:01ec,0x077,B,
91.891712s,0.001035s,0000:01ed,0x033,B,
91.892747s,0.001035s,0000:01ee,0x006,B,
91.893782s,0.001035s,0000:01ef,0x0B0,B,
92.611238s,0.717456s,0000:01f0,0x083,A, command: send countdown timer.
92.612279s,0.001041s,0000:01f1,0x001,A,
92.613314s,0.001035s,0000:01f2,0x008,A,
92.614356s,0.001042s,0000:01f3,0x08C,A,
92.791651s,0.177295s,0000:01f4,0x0B5,A,
92.792693s,0.001042s,0000:01f5,0x0B5,A,
93.690731s,0.898038s,0000:01f6,0x083,A, command: send countdown timer.
93.691773s,0.001042s,0000:01f7,0x001,A,
93.692808s,0.001035s,0000:01f8,0x007,A,
93.693849s,0.001041s,0000:01f9,0x08B,A,
93.869172s,0.175323s,0000:01fa,0x0B5,A,
93.870214s,0.001042s,0000:01fb,0x0B5,A,
93.872063s,0.001849s,0000:01fc,0x037,B,
93.873098s,0.001035s,0000:01fd,0x033,B,
93.874133s,0.001035s,0000:01fe,0x006,B,
93.875168s,0.001035s,0000:01ff,0x070,B,
94.771260s,0.896092s,0000:0200,0x083,A, command: send countdown timer.
94.772301s,0.001041s,0000:0201,0x001,A,
94.773343s,0.001042s,0000:0202,0x006,A,
94.774385s,0.001042s,0000:0203,0x08A,A,
94.955736s,0.181351s,0000:0204,0x0B5,A,
94.956777s,0.001041s,0000:0205,0x0B5,A,
95.673145s,0.716368s,0000:0206,0x083,A, command: send countdown timer.
95.674187s,0.001042s,0000:0207,0x001,A,
95.675229s,0.001042s,0000:0208,0x005,A,
95.676264s,0.001035s,0000:0209,0x089,A,
95.853565s,0.177301s,0000:020a,0x0B5,A,
95.854601s,0.001036s,0000:020b,0x0B5,A,
96.756695s,0.902094s,0000:020c,0x083,A, command: send countdown timer.
96.757736s,0.001041s,0000:020d,0x001,A,
